id,name,country,region
309,Kotoku Newtown,322,55
308,Amrahia,322,55
307,Domeabra,322,55
306,Katamansu No.1,322,55
305,New Aplaku,322,55
304,Kanda,322,55
303,Taifa,322,55
302,Frafraha,322,55
301,Abladjei,322,55
300,Ada Kasseh,322,55
299,Pute,322,55
298,Pobiman,322,55
297,Community 18,322,55
296,Ofankor,322,55
295,Legon,322,55
294,Westland,322,55
293,East Legon Hills,322,55
292,Ablekuma,322,55
291,Haatso,322,55
290,Ecomog,322,55
289,Agbogba,322,55
288,Community 4 Segico Flats,322,55
287,Ayi Mensah,322,55
286,Sakumono,322,55
285,Oyarifa,322,55
284,Lashibi,322,55
283,New Weija,322,55
282,Ayigbe Town,322,55
281,SSNIT Flats,322,55
280,Greda Estate,322,55
279,Spintex,322,55
278,Regimanuel Gray Estate,322,55
277,New Achimota,322,55
276,Gbawe,322,55
275,Sarpeiman,322,55
274,Tulaku,322,55
273,Freetown,322,55
272,Saki,322,55
271,kakasunaka No.1,322,55
270,Bethlehem,322,55
269,Sebrepor,322,55
133,New Abelekuma,322,55
132,Mendskrom,322,55
131,Ngleshie Amanfro,322,55
130,Galiliea,322,55
129,New Legon,322,55
128,Alogboshie,322,55
127,Ablekuma Newtown,322,55
126,Lapaz,322,55
125,Soli Korpe,322,55
124,Quarters,322,55
123,Pokuase,322,55
122,Masalatsi,322,55
121,La,322,55
120,Sowutuom,322,55
119,Amasaman,322,55
118,Teshie,322,55
117,Community 4 Kaiser Flat,322,55
116,Madina,322,55
115,Santoe,322,55
114,Ashaley Botwe,322,55
113,Abofu,322,55
112,Opetekwe,322,55
111,Sege,322,55
110,Prampram,322,55
109,Old Fadama,322,55
108,Community 25,322,55
107,NanaKrom,322,55
106,Korlebu,322,55
105,Alaji,322,55
104,Race Course,322,55
103,Nyamekye,322,55
102,Tabora,322,55
101,Official Town,322,55
100,Kokompe,322,55
99,Darkuman,322,55
98,Nungua,322,55
97,Adjen Kotoku,322,55
96,Medie,322,55
95,Afienya,322,55
94,Nasalat,322,55
93,Little Legon,322,55
92,Kisseman,322,55
91,Green Hill,322,55
90,Dome,322,55
89,Christian Village,322,55
88,Awoshie,322,55
87,East Airport,322,55
86,Community 22,322,55
85,Otojor,322,55
84,Nii Boi Town,322,55
83,Kwabenya,322,55
82,Ashongman,322,55
81,Adenta,322,55
80,Abokobi,322,55
79,Weija,322,55
78,South Odorkor Estates,322,55
77,Russia,322,55
76,New Russia,322,55
75,New Gbawe,322,55
74,Mallam,322,55
73,Mallam Borla,322,55
72,Lantemame,322,55
71,Bukom,322,55
70,Community 17,322,55
69,Valco Estades,322,55
68,Obenyade,322,55
67,Community 9,322,55
66,Community 8,322,55
65,Community 7,322,55
64,Community 6,322,55
63,Community 5,322,55
62,Community 4,322,55
61,Community 3,322,55
60,Community 2,322,55
59,Community 12,322,55
58,Community 10,322,55
57,Community 1,322,55
56,North Dzorwolu,322,55
55,Trasacco Valley,322,55
54,Adjiringanor,322,55
53,Teshie Nungua Estates,322,55
52,Ashaiman,322,55
51,North Industrial Area,322,55
50,McCarthy Hill,322,55
49,Bornikope,322,55
48,Tojeh,322,55
47,Big Ada,322,55
46,Ada Foah,322,55
45,Dodowa,322,55
44,Community 11,322,55
43,Burma Camp,322,55
42,Akweteyman,322,55
41,Abeka,322,55
40,North Kaneshie,322,55
39,East Legon,322,55
38,Achimota,322,55
37,Tesano,322,55
36,Roman Ridge,322,55
35,Kotobabi,322,55
34,Alajo,322,55
33,Maamobi,322,55
32,Accra New Town,322,55
31,Awudome Estates,322,55
30,Kaneshie,322,55
29,Mataheko,322,55
28,Odorkor,322,55
27,Dansoman,322,55
26,Lartebiokorshie,322,55
25,Abossey Okai,322,55
24,Mpoase,322,55
23,Chorkor,322,55
22,Mamprobi,322,55
21,Korle Gonno,322,55
20,South Industrial Area,322,55
19,Ussher Town,322,55
18,James Town,322,55
17,Adabraka,322,55
16,Asylum Down,322,55
15,South La Estates,322,55
14,Nima,322,55
13,Kanda Estates,322,55
12,Ringway Estates,322,55
11,North Ridge,322,55
10,West Ridge,322,55
9,Labone,322,55
8,Osu,322,55
7,Ministries,322,55
6,Nyaniba Estates,322,55
5,Kokomlemle,322,55
4,Abelenkpe,322,55
3,Dzorwulu,322,55
2,Cantonments,322,55
1,Airport Residential Area,322,55
